quadra,frequency
5-10-17-18,9
5-10-17-21,9
5-10-17-23,9
5-10-19-20,9
5-10-19-22,9
5-10-20-22,9
5-10-20-24,9
5-10-21-24,9
5-10-24-25,9
5-11-13-23,9
5-12-17-24,9
5-12-18-23,9
5-13-15-18,9
5-13-18-23,9
5-13-20-25,9
5-6-10-17,9
5-6-10-20,9
5-6-10-22,9
5-6-12-18,9
5-6-12-23,9
5-6-19-23,9
5-6-7-23,9
5-6-9-10,9
5-6-9-13,9
5-7-11-12,9
5-7-11-15,9
5-7-11-22,9
5-7-11-23,9
5-7-9-15,9
5-8-10-12,9
5-8-10-15,9
5-8-10-17,9
5-8-10-23,9
5-9-11-12,9
5-9-11-15,9
5-9-11-22,9
5-9-13-20,9
5-9-13-25,9
5-9-23-25,9
6-10-11-12,9
6-10-11-20,9
6-10-12-17,9
6-10-12-23,9
6-10-13-15,9
6-10-13-20,9
6-10-15-18,9
6-10-17-21,9
6-10-19-22,9
6-10-19-23,9
6-10-19-24,9
6-10-22-25,9
6-10-23-24,9
6-11-12-18,9
6-11-18-20,9
6-11-18-24,9
6-12-13-18,9
6-15-19-21,9
6-15-19-24,9
6-19-21-23,9
6-19-22-23,9
6-19-23-24,9
6-7-10-15,9
6-7-10-23,9
6-7-11-15,9
6-7-11-20,9
6-7-11-22,9
6-7-11-23,9
6-7-12-18,9
6-7-15-23,9
6-7-15-25,9
6-7-9-15,9
6-7-9-25,9
6-8-10-20,9
6-8-20-25,9
6-9-10-18,9
6-9-13-18,9
6-9-13-25,9
7-10-11-12,9
7-10-11-20,9
7-10-12-23,9
7-10-13-17,9
7-10-13-23,9
7-10-15-18,9
7-10-18-22,9
7-10-18-23,9
7-11-12-20,9
7-11-13-15,9
7-11-15-18,9
7-11-15-19,9
7-11-16-20,9
7-11-18-24,9
7-11-19-20,9
7-12-13-18,9
7-13-18-23,9
7-13-18-24,9
7-8-10-12,9
7-8-10-15,9
7-8-10-20,9
7-8-10-24,9
7-8-11-20,9
7-8-15-19,9
7-8-19-24,9
7-9-10-12,9
7-9-10-15,9
7-9-11-13,9
7-9-11-15,9
8-10-12-15,9
8-10-12-18,9
8-10-12-20,9
8-10-12-25,9
8-10-13-20,9
8-10-15-19,9
8-10-15-25,9
8-10-17-21,9
8-10-17-22,9
8-10-17-25,9
8-10-18-20,9
8-10-19-20,9
8-10-19-24,9
8-10-20-22,9
8-10-20-24,9
8-10-24-25,9
8-11-18-20,9
8-12-20-25,9
8-15-19-24,9
8-15-19-25,9
8-19-24-25,9
8-9-10-15,9
9-10-11-20,9
9-10-11-23,9
9-10-11-24,9
9-10-11-25,9
9-10-13-14,9
9-10-13-22,9
9-10-13-24,9
9-10-15-18,9
9-10-23-25,9
9-13-15-18,9
